id;emp_code;emp_username;emp_full_name;login_ip;login_time
1;Web;applications;Steel Cotton;withdrawal Electronics;2024-12-04T17:54:49
2;Gloves calculate;alarm;Ergonomic Shoes Metal;RSS Bacon;2024-12-05T01:25:00
3;Fresh Gloves;National;invoice;Liaison Senior;2024-12-04T07:10:50
4;magenta Account olive;Granite Kingdom zero;Cambridgeshire;Ameliorated Paraguay;2024-12-04T22:42:10
5;Producer;Kentucky;Bedfordshire Handcrafted integrated;Account mobile Buckinghamshire;2024-12-04T08:13:35
6;Kids Central;system XSS;Assimilated Lead help-desk;Reactive;2024-12-04T18:01:24
7;enable bluetooth Buckinghamshire;synthesizing;non-volatile Dollar;Rial Dynamic;2024-12-04T07:20:41
8;orchestrate convergence;hack;protocol Awesome Saint;Tasty;2024-12-04T09:49:35
9;Turnpike Pines Islands;maroon;web Metal back-end;fresh-thinking systematic;2024-12-04T21:31:09
10;Romania calculating neural;cross-platform tan compressing;Balboa Handcrafted Lek;parsing;2024-12-04T15:26:33
